Date,Close,High,Low,Volume,SMA_20,EMA_20,RSI,MACD,MACD_Signal,Current_Price,Market_Cap,Circulating_Supply,Total_Supply,Previous_Close,Day_Range,52_Week_High,52_Week_Low,YTD_Performance,Change %,10 yr %,Day %
8/4/2015,4950.819824,4956.720215,4914.149902,1714210000,4925.710962,4920.441931,46.38473357,4.872787855,9.805757145,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,0.83%,105%,1%
9/4/2015,4974.560059,4975.930176,4928.109863,1729750000,4931.941968,4925.596039,48.04992033,8.82102381,9.608810478,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,0.48%,105%,1%
10/4/2015,4995.97998,4996.080078,4970.02002,1494240000,4937.076465,4932.299271,46.5742374,13.5225583,10.39156004,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,0.43%,106%,1%
13/4/2015,4988.25,5024.25,4985.959961,1544190000,4942.900977,4937.627912,47.39781338,16.43535687,11.60031941,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,-0.15%,106%,1%
14/4/2015,4977.290039,4996.819824,4952.009766,1571360000,4945.28999,4941.405257,47.97811745,17.65586762,12.81142905,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,-0.22%,105%,1%
15/4/2015,5011.02002,5021.189941,4989.240234,1795530000,4948.969482,4948.035235,69.39159108,21.10161245,14.46946573,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,0.68%,106%,1%
16/4/2015,5007.790039,5016,4996,1662850000,4950.21748,4953.726169,71.43710257,23.30313362,16.23619931,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,-0.06%,106%,0%
17/4/2015,4931.810059,4974.089844,4912.330078,1985190000,4947.188989,4951.63892,55.27155537,18.70132829,16.7292251,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,-1.52%,104%,1%
20/4/2015,4994.600098,5000.200195,4952.680176,1646340000,4945.597998,4955.730461,56.02209214,19.89169672,17.36171943,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,1.27%,106%,1%
21/4/2015,5014.100098,5028.220215,5009.509766,1721260000,4945.754492,4961.289474,65.53091447,22.15319111,18.32001376,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,0.39%,106%,0%
